benchmark,w_ops,w_keys,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multiplicative Depth,compile_time (s),circuit_execution_time (s),galois_keys_generation_time (s),total_execution_time (s),Remaining_noise_budget,rotation_keys_size (MB),rotation_keys_count,final_ops_cost,final_keys_cost
tree_10_2_50-50,0.8,0.2,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8018.0,0.0
tree_10_2_50-50,1.0,0.0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8018.0,0.0
tree_5_1_100-50,0.8,0.2,28,0,0,3,0,13,11,4,78.750,5.838,0.445,6.283,230,36.2679,2,7470.0,2.0
tree_5_1_100-50,1.0,0.0,28,0,0,3,0,13,11,4,76.662,5.586,0.459,6.045,230,36.2679,2,7470.0,2.0
tree_5_2_100-50,0.8,0.2,13,0,0,4,0,6,15,4,31.858,2.933,0.842,3.775,230,72.4103,4,4505.0,4.0
tree_5_2_100-50,1.0,0.0,13,0,0,4,0,6,15,4,34.346,2.848,0.788,3.636,229,72.4103,4,4505.0,4.0
tree_10_1_100-50,0.8,0.2,511,0,0,0,0,512,10,9,525.107,291.865,0.000,291.865,66,0.125542,0,255771.0,0.0
tree_10_1_100-50,1.0,0.0,511,0,0,0,0,512,10,9,521.989,229.880,0.000,229.880,66,0.125542,0,255771.0,0.0
tree_10_2_100-50,0.8,0.2,557,0,0,2,0,530,16,8,1696.560,262.078,0.409,262.486,97,36.2679,2,254730.0,2.0
tree_10_2_100-50,1.0,0.0,557,0,0,2,0,530,16,8,1619.260,247.056,0.407,247.463,98,36.2679,2,254730.0,2.0
tree_5_1_100-100,0.8,0.2,1,0,0,1,0,15,6,4,49.806,5.506,0.221,5.726,229,18.1967,1,7564.0,1.0
tree_5_1_100-100,1.0,0.0,1,0,0,1,0,15,6,4,19.212,5.299,0.206,5.505,230,18.1967,1,7564.0,1.0
tree_5_2_100-100,0.8,0.2,2,0,0,0,0,29,5,4,17.651,10.310,0.000,10.310,229,0.125542,0,7761.0,0.0
tree_5_2_100-100,1.0,0.0,2,0,0,0,0,29,5,4,16.743,9.988,0.000,9.988,229,0.125542,0,7761.0,0.0
tree_10_1_100-100,0.8,0.2,1,0,0,1,0,511,11,9,49.597,185.538,0.214,185.752,62,18.1967,1,255574.0,1.0
tree_10_1_100-100,1.0,0.0,1,0,0,1,0,511,11,9,53.873,171.230,0.218,171.447,63,18.1967,1,255574.0,1.0
tree_10_2_100-100,0.8,0.2,0,0,0,0,0,1023,10,10,34.672,385.784,0.000,385.784,30,0.125542,0,255772.0,0.0
tree_10_2_100-100,1.0,0.0,0,0,0,0,0,1023,10,10,62.003,361.458,0.000,361.458,30,0.125542,0,255772.0,0.0
