benchmark,add,sub,multiply_plain,rotate_rows,negate,multiply,Depth,Multplicative Depth,compile_time (s),circuit_execution_time (s),galois_keys_generation_time (s),total_execution_time (s),Remaining_noise_budget,rotation_keys_size (MB)
hamming_dist_15,9.0,2.0,0.0,5.0,0.0,5.0,14.0,2.0,13.939,1.155,0.557,1.713,294,90.4814
hamming_dist_16,8.0,1.0,0.0,5.0,0.0,3.0,15.0,2.0,15.860,0.776,0.558,1.334,293,90.4814
hamming_dist_24,10.0,2.0,1.0,5.0,0.0,5.0,16.0,2.0,23.532,0.977,0.555,1.532,293,90.4814
hamming_dist_31,10,2,1,5,0,5,15.0,2.0,28.238
hamming_dist_32,8.0,1.0,0.0,5.0,0.0,3.0,14.0,2.0,33.373,0.778,0.558,1.336,293,90.4814
poly_reg_3
poly_reg_4,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,11.057,0.407,0.000,0.407,296,0.125542
poly_reg_5
poly_reg_8,4.0,0.0,0.0,1.0,0.0,2.0,7.0,2.0,11.191,0.471,0.113,0.583,296,18.1967
poly_reg_15
poly_reg_16,4.0,0.0,0.0,1.0,0.0,2.0,7.0,2.0,11.025,0.471,0.113,0.584,296,18.1967
poly_reg_24
poly_reg_31
poly_reg_32,3.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,11.203,0.407,0.000,0.407,296,0.125542
l2_distance_3,2.0,2.0,0.0,2.0,0.0,1.0,6.0,1.0,10.816,0.303,0.222,0.525,327,36.2679
l2_distance_4,2.0,2.0,0.0,1.0,0.0,2.0,5.0,1.0,12.610,0.424,0.113,0.537,326,18.1967
l2_distance_5,3.0,3.0,0.0,3.0,0.0,2.0,7.0,1.0,10.869,0.531,0.222,0.753,325,36.2679
l2_distance_8,4.0,4.0,0.0,2.0,0.0,4.0,7.0,1.0,13.677,0.840,0.223,1.063,325,36.2679
l2_distance_15,4.0,2.0,0.0,5.0,0.0,2.0,10.0,1.0,14.553,0.593,0.443,1.036,323,72.4103
l2_distance_16,4.0,1.0,0.0,5.0,0.0,1.0,11.0,1.0,13.258,0.402,0.555,0.957,324,90.4814
l2_distance_24,5.0,3.0,0.0,4.0,0.0,2.0,11.0,1.0,15.928,0.573,0.445,1.018,325,72.4103
l2_distance_31,5.0,3.0,0.0,4.0,0.0,2.0,11.0,1.0,17.718,0.573,0.446,1.020,325,72.4103
l2_distance_32,5.0,1.0,0.0,5.0,0.0,1.0,12.0,1.0,22.434,0.403,0.557,0.959,324,90.4814
dot_product_3,2.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,10.870,0.279,0.223,0.502,327,36.2679
dot_product_4,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,11.202,0.425,0.113,0.538,328,18.1967
dot_product_5,3.0,0.0,0.0,2.0,0.0,2.0,6.0,1.0,11.364,0.467,0.222,0.689,327,36.2679
dot_product_8,4.0,0.0,0.0,1.0,0.0,4.0,5.0,1.0,11.010,0.798,0.112,0.911,327,18.1967
dot_product_15,8.0,0.0,0.0,2.0,0.0,7.0,7.0,1.0,11.694,1.398,0.223,1.622,327,36.2679
dot_product_16,8.0,0.0,0.0,2.0,0.0,8.0,7.0,1.0,15.582,1.557,0.223,1.780,324,36.2679
dot_product_24,16.0,0.0,0.0,9.0,0.0,8.0,8.0,1.0,16.066,1.880,0.222,2.102,326,36.2679
dot_product_31,5.0,0.0,0.0,5.0,0.0,2.0,11.0,1.0,13.750,0.567,0.557,1.124,322,90.4814
dot_product_32,5.0,0.0,0.0,5.0,0.0,1.0,11.0,1.0,13.426,0.403,0.554,0.957,326,90.4814
gx_kernel_3,9.0,0.0,3.0,0.0,2.0,4.0,6.0,2.0,12.092,0.440,0.000,0.440,304,0.125542
gx_kernel_4,7.0,0.0,3.0,0.0,1.0,3.0,5.0,1.0,11.074,0.238,0.000,0.238,340,0.125542
gx_kernel_5,7.0,0.0,3.0,0.0,1.0,3.0,5.0,1.0,11.256,0.242,0.000,0.242,335,0.125542
gx_kernel_8
gx_kernel_15
gx_kernel_16
gx_kernel_24
gx_kernel_31
gx_kernel_32
gy_kernel_3,10.0,0.0,5.0,0.0,2.0,5.0,6.0,1.0,11.332,0.344,0.000,0.344,335,0.125542
gy_kernel_4,8.0,0.0,3.0,0.0,2.0,5.0,6.0,1.0,11.055,0.592,0.000,0.592,328,0.125542
gy_kernel_5,8.0,0.0,3.0,0.0,2.0,5.0,6.0,1.0,12.593,0.597,0.000,0.597,328,0.125542
gy_kernel_8
gy_kernel_15
gy_kernel_16
gy_kernel_24
gy_kernel_31
gy_kernel_32
roberts_cross_3,6.0,0.0,0.0,1.0,3.0,2.0,5.0,1.0,11.166,0.474,0.112,0.586,326,18.1967
roberts_cross_4,6.0,0.0,0.0,1.0,3.0,2.0,5.0,1.0,11.316,0.474,0.112,0.586,326,18.1967
roberts_cross_5,6.0,0.0,0.0,0.0,3.0,2.0,5.0,1.0,12.409,0.433,0.000,0.433,327,0.125542
roberts_cross_8
roberts_cross_15
roberts_cross_16
roberts_cross_24
roberts_cross_31
roberts_cross_32
matrix_mul_3,2.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,11.034,0.570,0.000,0.570,328,0.125542
matrix_mul_4,2.0,0.0,0.0,1.0,0.0,2.0,4.0,1.0,11.180,0.425,0.113,0.538,327,18.1967
matrix_mul_5,4.0,0.0,0.0,0.0,0.0,5.0,4.0,1.0,11.815,0.943,0.000,0.943,327,0.125542
matrix_mul_8
matrix_mul_15
matrix_mul_16
matrix_mul_24
matrix_mul_31
matrix_mul_32
tree_50-50_5_1,6.0,0.0,0.0,3.0,0.0,2.0,8.0,2.0,11.073,0.553,0.222,0.775,296,36.2679
tree_50-50_10_1,16.0,0.0,0.0,5.0,0.0,9.0,15.0,5.0,13.389,1.976,0.558,2.533,197,90.4814
tree_100-50_5_1,18.0,0.0,0.0,5.0,0.0,4.0,14.0,3.0,12.277,1.206,0.555,1.761,260,90.4814
tree_100-50_10_1,524.0,0.0,0.0,2.0,0.0,502.0,16.0,10.0,31.384,93.194,0.223,93.417,35,36.2679
tree_100-100_5_1,1.0,0.0,0.0,5.0,0.0,4.0,10.0,4.0,12.502,0.793,0.557,1.350,228,90.4814
tree_100-100_10_1,1.0,0.0,0.0,2.0,0.0,256.0,12.0,9.0,24.696,41.549,0.223,41.772,63,36.2679
